X,Y,U
0.000000,0.000000,-0.000000
0.020202,0.000000,0.000000
0.040404,0.000000,0.000000
0.060606,0.000000,0.000000
0.080808,0.000000,0.000000
0.101010,0.000000,0.000000
0.121212,0.000000,0.000000
0.141414,0.000000,0.000000
0.161616,0.000000,0.000000
0.181818,0.000000,0.000000
0.202020,0.000000,0.000000
0.222222,0.000000,0.000000
0.242424,0.000000,0.000000
0.262626,0.000000,0.000000
0.282828,0.000000,0.000000
0.303030,0.000000,0.000000
0.323232,0.000000,0.000000
0.343434,0.000000,0.000000
0.363636,0.000000,0.000000
0.383838,0.000000,0.000000
0.404040,0.000000,0.000000
0.424242,0.000000,0.000000
0.444444,0.000000,0.000000
0.464646,0.000000,0.000000
0.484848,0.000000,0.000000
0.505051,0.000000,0.000000
0.525253,0.000000,0.000000
0.545455,0.000000,0.000000
0.565657,0.000000,0.000000
0.585859,0.000000,0.000000
0.606061,0.000000,0.000000
0.626263,0.000000,0.000000
0.646465,0.000000,0.000000
0.666667,0.000000,0.000000
0.686869,0.000000,0.000000
0.707071,0.000000,0.000000
0.727273,0.000000,0.000000
0.747475,0.000000,0.000000
0.767677,0.000000,0.000000
0.787879,0.000000,0.000000
0.808081,0.000000,0.000000
0.828283,0.000000,0.000000
0.848485,0.000000,0.000000
0.868687,0.000000,0.000000
0.888889,0.000000,0.000000
0.909091,0.000000,0.000000
0.929293,0.000000,0.000000
0.949495,0.000000,0.000000
0.969697,0.000000,0.000000
0.989899,0.000000,0.000000
1.010101,0.000000,0.000000
1.030303,0.000000,0.000000
1.050505,0.000000,0.000000
1.070707,0.000000,0.000000
1.090909,0.000000,0.000000
1.111111,0.000000,0.000000
1.131313,0.000000,0.000000
1.151515,0.000000,0.000000
1.171717,0.000000,0.000000
1.191919,0.000000,0.000000
1.212121,0.000000,0.000000
1.232323,0.000000,0.000000
1.252525,0.000000,0.000000
1.272727,0.000000,0.000000
1.292929,0.000000,0.000000
1.313131,0.000000,0.000000
1.333333,0.000000,0.000000
1.353535,0.000000,0.000000
1.373737,0.000000,0.000000
1.393939,0.000000,0.000000
1.414141,0.000000,0.000000
1.434343,0.000000,0.000000
1.454545,0.000000,0.000000
1.474747,0.000000,0.000000
1.494949,0.000000,0.000000
1.515152,0.000000,0.000000
1.535354,0.000000,0.000000
1.555556,0.000000,0.000000
1.575758,0.000000,0.000000
1.595960,0.000000,0.000000
1.616162,0.000000,0.000000
1.636364,0.000000,0.000000
1.656566,0.000000,0.000000
1.676768,0.000000,0.000000
1.696970,0.000000,0.000000
1.717172,0.000000,0.000000
1.737374,0.000000,0.000000
1.757576,0.000000,0.000000
1.777778,0.000000,0.000000
1.797980,0.000000,0.000000
1.818182,0.000000,0.000000
1.838384,0.000000,0.000000
1.858586,0.000000,0.000000
1.878788,0.000000,0.000000
1.898990,0.000000,0.000000
1.919192,0.000000,0.000000
1.939394,0.000000,0.000000
1.959596,0.000000,0.000000
1.979798,0.000000,0.000000
2.000000,0.000000,-0.000000
0.000000,0.020202,-0.020201
0.020202,0.020202,-0.020160
0.040404,0.020202,-0.020038
0.060606,0.020202,-0.019836
0.080808,0.020202,-0.019554
0.101010,0.020202,-0.019193
0.121212,0.020202,-0.018754
0.141414,0.020202,-0.018240
0.161616,0.020202,-0.017653
0.181818,0.020202,-0.016994
0.202020,0.020202,-0.016267
0.222222,0.020202,-0.015475
0.242424,0.020202,-0.014620
0.262626,0.020202,-0.013706
0.282828,0.020202,-0.012738
0.303030,0.020202,-0.011717
0.323232,0.020202,-0.010650
0.343434,0.020202,-0.009540
0.363636,0.020202,-0.008391
0.383838,0.020202,-0.007208
0.404040,0.020202,-0.005997
0.424242,0.020202,-0.004761
0.444444,0.020202,-0.003506
0.464646,0.020202,-0.002237
0.484848,0.020202,-0.000959
0.505051,0.020202,0.000323
0.525253,0.020202,0.001604
0.545455,0.020202,0.002878
0.565657,0.020202,0.004141
0.585859,0.020202,0.005387
0.606061,0.020202,0.006611
0.626263,0.020202,0.007809
0.646465,0.020202,0.008975
0.666667,0.020202,0.010105
0.686869,0.020202,0.011195
0.707071,0.020202,0.012239
0.727273,0.020202,0.013234
0.747475,0.020202,0.014176
0.767677,0.020202,0.015061
0.787879,0.020202,0.015885
0.808081,0.020202,0.016646
0.828283,0.020202,0.017339
0.848485,0.020202,0.017962
0.868687,0.020202,0.018513
0.888889,0.020202,0.018990
0.909091,0.020202,0.019390
0.929293,0.020202,0.019712
0.949495,0.020202,0.019954
0.969697,0.020202,0.020117
0.989899,0.020202,0.020198
1.010101,0.020202,0.020198
1.030303,0.020202,0.020117
1.050505,0.020202,0.019954
1.070707,0.020202,0.019712
1.090909,0.020202,0.019390
1.111111,0.020202,0.018990
1.131313,0.020202,0.018513
1.151515,0.020202,0.017962
1.171717,0.020202,0.017339
1.191919,0.020202,0.016646
1.212121,0.020202,0.015885
1.232323,0.020202,0.015061
1.252525,0.020202,0.014176
1.272727,0.020202,0.013234
1.292929,0.020202,0.012239
1.313131,0.020202,0.011195
1.333333,0.020202,0.010105
1.353535,0.020202,0.008975
1.373737,0.020202,0.007809
1.393939,0.020202,0.006611
1.414141,0.020202,0.005387
1.434343,0.020202,0.004141
1.454545,0.020202,0.002878
1.474747,0.020202,0.001604
1.494949,0.020202,0.000323
1.515152,0.020202,-0.000959
1.535354,0.020202,-0.002237
1.555556,0.020202,-0.003506
1.575758,0.020202,-0.004761
1.595960,0.020202,-0.005997
1.616162,0.020202,-0.007208
1.636364,0.020202,-0.008391
1.656566,0.020202,-0.009540
1.676768,0.020202,-0.010650
1.696970,0.020202,-0.011717
1.717172,0.020202,-0.012738
1.737374,0.020202,-0.013706
1.757576,0.020202,-0.014620
1.777778,0.020202,-0.015475
1.797980,0.020202,-0.016267
1.818182,0.020202,-0.016994
1.838384,0.020202,-0.017653
1.858586,0.020202,-0.018240
1.878788,0.020202,-0.018754
1.898990,0.020202,-0.019193
1.919192,0.020202,-0.019554
1.939394,0.020202,-0.019836
1.959596,0.020202,-0.020038
1.979798,0.020202,-0.020160
2.000000,0.020202,-0.020201
0.000000,0.040404,-0.040393
0.020202,0.040404,-0.040312
0.040404,0.040404,-0.040069
0.060606,0.040404,-0.039664
0.080808,0.040404,-0.039099
0.101010,0.040404,-0.038377
0.121212,0.040404,-0.037501
0.141414,0.040404,-0.036473
0.161616,0.040404,-0.035299
0.181818,0.040404,-0.033982
0.202020,0.040404,-0.032528
0.222222,0.040404,-0.030944
0.242424,0.040404,-0.029234
0.262626,0.040404,-0.027407
0.282828,0.040404,-0.025470
0.303030,0.040404,-0.023430
0.323232,0.040404,-0.021295
0.343434,0.040404,-0.019075
0.363636,0.040404,-0.016778
0.383838,0.040404,-0.014413
0.404040,0.040404,-0.011991
0.424242,0.040404,-0.009520
0.444444,0.040404,-0.007010
0.464646,0.040404,-0.004473
0.484848,0.040404,-0.001917
0.505051,0.040404,0.000646
0.525253,0.040404,0.003207
0.545455,0.040404,0.005755
0.565657,0.040404,0.008280
0.585859,0.040404,0.010772
0.606061,0.040404,0.013220
0.626263,0.040404,0.015615
0.646465,0.040404,0.017947
0.666667,0.040404,0.020207
0.686869,0.040404,0.022385
0.707071,0.040404,0.024474
0.727273,0.040404,0.026464
0.747475,0.040404,0.028347
0.767677,0.040404,0.030116
0.787879,0.040404,0.031764
0.808081,0.040404,0.033284
0.828283,0.040404,0.034670
